osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
4407141055,node,tourism,guest_house,Bangnu River Homestay,,,8.5060538,98.5291932,,,,,,,,,,,,
4572827457,node,tourism,hotel,View Garden,,,8.5328375,98.5104866,,,,,,,,,,,,
4605178889,node,tourism,guest_house,,,,8.4605668,98.5311857,,,,,,,,,,,,
4643723791,node,tourism,hotel,,Lak Muang 2 Hotel,,8.445528,98.5228868,,,,,,,,,,,,
4643738190,node,shop,greengrocer,,Phangnga Chatuchak Weekend Market,,8.444894,98.5226981,,,,,,,,,,,,
4643759089,node,amenity,cafe,,Cafe Amazon,,8.4457252,98.5223529,,,,,,,Mo-Su 06:00-20:00,,,,,
5248211421,node,amenity,cafe,Sewana,Sewana,,8.4364508,98.5257051,,,,,,,Mo-Su 11:00-23:00,,,thai,,
5356391621,node,amenity,restaurant,,,,8.4728517,98.5294566,,,,,,,,,,,,
5365777548,node,tourism,motel,,,,8.4580075,98.4537625,,,,,,,,,,,,
5365777902,node,tourism,guest_house,Palm Hill Resort,,,8.4402052,98.5370994,,,,,,,,,,,,
5604175991,node,amenity,cafe,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,8.4306791,98.5185284,,,,,,,Mo-Su 07:00-19:00,,,coffee_shop,,
5604175992,node,amenity,restaurant,,,,8.4306101,98.519372,,,,,,,,,,,,
5604176387,node,amenity,cafe,Yim Café and Bakery,,,8.4627353,98.5313736,,,,,,,,,,,,
5612980915,node,amenity,restaurant,Phang Nga Guesthouse Restaurant,,,8.4660939,98.5311923,,,,,,,,,,,,
6017425087,node,tourism,attraction,,Dairyhut Farm,,8.4219461,98.5329698,,,,,,,,,,,,
6070111685,node,amenity,restaurant,,,,8.4418019,98.5292569,,,,,,,,,,,,
6167534985,node,amenity,cafe,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,8.430282,98.5083722,,,,,,,Mo-Su 07:00-19:00,,,coffee_shop,,
6259823085,node,amenity,restaurant,,Muslim Halal Food,,8.4305538,98.5195005,,,,,,,,,,,,
6267235554,node,tourism,guest_house,Phang Nga Viewpoint,,,8.4361341,98.505321,,,,,,,,,,,,
6267235555,node,tourism,guest_house,Khaowong Resort,,,8.4682284,98.5283893,,,,,,,,,,,,
6267235556,node,tourism,guest_house,Blue Mountain Resort,,,8.4614155,98.5288641,,,,,,,,,,,,
6269178601,node,amenity,cafe,,,,8.4637236,98.52862,,,,,,,,,,ice_cream,,
6269178602,node,amenity,restaurant,Rabiang Naam,,,8.4618108,98.5374257,,,,,,,,,,,,
6337779942,node,leisure,resort,Lodge Phang Nga,,,8.4653099,98.5280741,,,,,,,,,,,,
6493313885,node,tourism,hotel,Hotel,,,8.4500058,98.5303358,,,,,,,,,,,,
6744039785,node,amenity,restaurant,เจเนสส​ การ์เด้น,Genesis Garden,,8.4624416,98.5307381,089 919 3326,,,,,,Mo-Su 10:00-20:00,"154, ถนนเพชรเกษม",,thai,,
7060548622,node,tourism,hotel,Guesthouse 88,,,8.4579314,98.534549,,,,,,,,"1/2, ซ้อยทักษิณ",,,,
7161112625,node,amenity,restaurant,Khun Aroy,,,8.4287263,98.5279655,,,,,,,,,,,,
7161112626,node,amenity,restaurant,Tim Sam,,,8.4360001,98.5257085,,,,,,,,,,,,
7166312685,node,amenity,restaurant,Genesis Cafe,,,8.4624929,98.5307024,,,,,,,,,,,,
7207492385,node,amenity,restaurant,,Kohukai Cafe and Restaurant,,8.4455584,98.5229442,,,,,,,,,,,,
9505786148,node,amenity,cinema,,,,8.4592294,98.5320425,,,,,,,,,,,,
9505786149,node,tourism,hotel,Raruen Hotel,,,8.4493945,98.532595,,,,,,,,,,,,
11350910171,node,amenity,cafe,,Doi Sky Café,,8.4131545,98.45847,,,,,,,,,,,,
11350910370,node,tourism,hotel,Phu-nga Hotel,,,8.4210434,98.501775,,,,,,,,,,,,
11350910971,node,amenity,cafe,Ocha Café,Ocha Café,,8.4247195,98.4716638,,,,,,,,,,,,
11350910972,node,tourism,viewpoint,,,,8.4146403,98.5444345,,,,,,,,,,,,
11394448731,node,amenity,restaurant,ส้มตำเฮียบอย,,,8.5007665,98.4692521,0621695485,,,,,,,"48/1 หมู่ที่4, ตำบลป่ากอ อำเภอเมือง, 82000",,ร้านอาหารอีสาน,,
11598216339,node,amenity,marketplace,,,,8.4493992,98.5269349,,,,,,,,,,,,
11675768497,node,tourism,attraction,Monkey Feeding Area,,,8.4297782,98.4724934,,,,,,,,,,,,
11675768499,node,tourism,attraction,Monkey Feeding Area,,,8.4281555,98.4723892,,,,,,,,,,,,
11675934131,node,tourism,attraction,Abbot Statue,,,8.4291944,98.4727443,,,,,,,,,,,,
11897107969,node,tourism,hostel,,Zou Hostel,,8.468932,98.5382083,,,,,,,,,,,,
12477161960,node,amenity,cafe,Mangrove Cafe,,,8.4058912,98.5106259,,,,,,,,,,,,
12477172145,node,amenity,restaurant,,,,8.4059419,98.5109707,,,,,,,,,,,,
12477178641,node,tourism,information,Adaptative Roots for Air,,,8.4078855,98.5110901,,,,,,,,,,,,
12477179200,node,tourism,information,03 Crab of the Mangrove Forest,,,8.4076811,98.5109859,,,,,,,,,,,,
12477183733,node,tourism,information,02,02 Extraordinary Adaptive Capabilities,02,8.4068306,98.5106154,,,,,,,,,,,,
12477185482,node,tourism,information,,,,8.4081266,98.5110646,,,,,,,,,,,,
12477196807,node,tourism,information,,,,8.4105026,98.5109823,,,,,,,,,,,,
12669022522,node,leisure,sports_centre,Climbing Area,,,8.4338522,98.517977,,,,,,,,,,,,
13261501765,node,shop,beverages,ฟรุตทรัค Fruittruck Smoothie Bar,,,8.4676737,98.532513,,,,,,,,"1/37, ถ้ำน้ำผุด, เมืองพังงา, พังงา, 82000",,,,
13394410901,node,tourism,hotel,TP Place Hotel,,,8.4408242,98.5265449,,,,,,,,,,,,
13711087075,node,amenity,marketplace,,,,8.4348009,98.5136184,,,,,,,,,,,,
13711087085,node,amenity,restaurant,,,,8.4352453,98.5345222,,,,,,,,,,,,
13725371365,node,amenity,restaurant,,,,8.4490682,98.5331261,,,,,,,,,,,,
13727793334,node,amenity,restaurant,Phang Nga Viewpoint,,,8.436217,98.5051312,,,,,,,,,,,,
320049235,way,tourism,attraction,ATV,,,,,,,,,,,,,,,,
1498802842,way,leisure,sports_centre,,,,,,,,,,,,,,,,,
