Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Epost,Telefon,Scope,UU Status,Antall brudd (av 48),Sist oppdatert
03,Oslo,0301,Oslo,Arkitektur- og designhøgskolen i Oslo,971526335,https://aho.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Astma- og Allergiforbundet (NAAF),970220578,https://naaf.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Astrup Fearnley Museet,961533416,https://afrmuseum.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Autismeforeningen i Norge,970267526,https://autismeforeningen.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Autopass,982830681,https://autopass.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Avinor AS,985198292,https://avinor.no,,81 53 05 50,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Avinor Flysikring AS,913847121,https://avinor.no/flysikring,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,BFD - Barne- og familiedepartementet tilskudd,,https://regjeringen.no/bfd/tilskudd,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,BI - Handelshøyskolen BI,971228865,https://bi.no,postmottak@bi.no,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,BIA - Brukerstyrt innovasjonsarena,,https://forskningsradet.no/bia,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,BONO - Billedkunst opphavsrett Norge,971484578,https://bono.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bahá'í-samfunnet i Norge,970168497,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bane NOR SF,917082308,https://banenor.no,postmottak@banenor.no,47 77 00 98,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bankenes sikringsfond,971033162,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bankklagenemnda,,https://bankklage.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,BarentsWatch,,https://barentswatch.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Barnas representant - frivilligsentraler,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barne- og Familiedepartementet,972417793,https://www.regjeringen.no/bld,postmottak@bfd.dep.no,22 24 90 90,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Barneombudet,971527846,https://barneombudet.no,post.oppsal@oslo.kirken.no,23 62 99 60,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Alna,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Bjerke,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Frogner,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Gamle Oslo,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Grorud,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Grünerløkka,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Nordre Aker,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Nordstrand,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Sagene,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel St. Hanshaugen,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Stovner,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Søndre Nordstrand,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Ullern,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Vestre Aker,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernet bydel Østensjø,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Barnevernets tjenestetilsyn,,https://statsforvalteren.no/barnevern,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Barneverntjenesten Oslo,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bastø Fosen AS,920421033,https://bastofosen.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bekkelaget skole,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bellona,971318232,https://bellona.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bellona Foundation,952578239,https://bellona.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Berg videregående skole,974589087,https://berg.vgs.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bergen Internasjonale Filmfestival (BIFF),,https://bfriff.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bergen kommune tilskudd,,https://bergen.kommune.no/tilskudd,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Bergesenstiftelsen,974345025,https://berfrgesenstiftelsen.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Bispemøtet,,https://kirken.no/bispemotet,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bjerknessenteret for klimaforskning,,https://bjerknes.uib.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bjølsen skole,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bjørnholt videregående skole,974589095,https://bjornholt.vgs.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Blindeforbundet,971006262,https://blindeforbundet.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Blå Kors Norge,980032393,https://blakors.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Boligbygg Oslo KF,974780747,https://oslo.kommune.no,postmottak@bby.oslo.kommune.no,23 46 05 00,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Boligtvistnemnda,,https://boligtvistnemnda.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bolteløkka skole,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Boots apotek,,https://boots.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Boreal Sjø AS,984201339,https://boreal.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Botanisk hage Oslo,971035862,https://nhm.uio.no/botanisk-hage,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bredtveit fengsel og forvaringsanstalt,974605600,https://kriminalomsorgen.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bredtvet videregående skole,974589079,https://bredtvet.vgs.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bring AS,988186920,https://bring.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Brunstad Christian Church (Smiths venner),951832017,https://bfrcc.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Buddhistforbundet,970168489,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bufdir tilskuddsordninger,986128433,https://bufdir.no/tilskudd,postmottak@bufetat.no,46 61 50 00,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Byantikvaren i Oslo,,https://oslo.kommune.no/byantikvaren,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Alna,974591913,https://oslo.kommune.no/bydel-alna,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Bjerke,974591905,https://oslo.kommune.no/bydel-bjerke,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Frogner,974591956,https://oslo.kommune.no/bydel-frogner,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Gamle Oslo,974591891,https://oslo.kommune.no/bydel-gamle-oslo,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Grorud,974591964,https://oslo.kommune.no/bydel-grorud,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Grünerløkka,974591883,https://oslo.kommune.no/bydel-grunerlokka,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Nordre Aker,974591999,https://oslo.kommune.no/bydel-nordre-aker,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Nordstrand,974591980,https://oslo.kommune.no/bydel-nordstrand,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Sagene,974592025,https://oslo.kommune.no/bydel-sagene,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel St. Hanshaugen,974592017,https://oslo.kommune.no/bydel-st-hanshaugen,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Stovner,974591972,https://oslo.kommune.no/bydel-stovner,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Søndre Nordstrand,974591921,https://oslo.kommune.no/bydel-sondre-nordstrand,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Ullern,974592009,https://oslo.kommune.no/bydel-ullern,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Vestre Aker,974592033,https://oslo.kommune.no/bydel-vestre-aker,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bydel Østensjø,974591948,https://oslo.kommune.no/bydel-ostensjo,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byggenæringens Landsforening (BNL),910509538,https://bnl.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bymiljøetaten Oslo,,https://oslo.kommune.no/bymiljoetaten,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Bymiljøpakken,,https://bymiljofrrpakken.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byrådsavdeling for arbeid integrering og sosiale tjenester,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byrådsavdeling for byutvikling,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byrådsavdeling for finans,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byrådsavdeling for helse og omsorg,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byrådsavdeling for kultur og frivillighet,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byrådsavdeling for miljø og samferdsel,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byrådsavdeling for næring og eierskap,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byrådsavdeling for oppvekst og kunnskap,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Byrådsavdelingene Oslo,,https://oslo.kommune.no/politikk,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,CEES - Senter for økologisk og evolusjonær syntese,,https://cees.uio.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,CICERO - Senter for klimaforskning,971274190,https://cicero.oslo.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,CICERO Senter for klimaforskning,971274131,https://cicero.oslo.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,CargoNet AS,983416028,https://cargonet.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Caritas Norge,971314958,https://caritas.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Central Gurdwara Singh Sabha,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Central Jamaat-e Ahl-e Sunnat Norge,976698371,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Cinemateket Oslo,,https://nfi.no/cinemateket,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Color Line AS,974526769,https://colorline.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,ConocoPhillips Norge,,https://conocophillips.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Cristin - Current Research Information System,,https://cristin.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Cultiva - Kristiansand kommunes energiverkstiftelse,984063702,https://cultiva.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Cyberforsvaret,,https://forsvaret.no/cyberforsvaret,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,DAAD - tysk akademisk utveksling,,https://daad.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,DFDS Logistics AS,,https://dfds.com/logistics,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,DFDS Seaways,,https://dfds.com,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,DFDS Seaways AS,,https://dfds.com,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,DHL Express Norway AS,976882299,https://dhl.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,DIKU - Direktoratet for internasjonalisering og kvalitetsutvikling,986339523,https://diku.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,DIKU / HK-dir,919608316,https://hkdir.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,DNB ASA,984851006,https://dnb.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,DNO ASA,921482957,https://dno.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,DOF ASA,932394323,https://dof.com,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Data.norge.no,,https://data.norge.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Data.norge.no - Felles datakatalog,,https://data.norge.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Datatilsynet,974761467,https://datatilsynet.no,postkasse@datatilsynet.no,22 39 69 00,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Dd.kk.hh. Kronprinsen og Kronprinsessens Stab,984197780,https://slottet.no,arne.omholt@slottet.no,22 04 87 00,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Bjerke,,https://deichman.no/bjerke,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Furuset,,https://deichman.no/furuset,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Grünerløkka,,https://deichman.no/grunerlokka,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Holmlia,,https://deichman.no/holmlia,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Lambertseter,,https://deichman.no/lambertseter,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Majorstuen,,https://deichman.no/majorstuen,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Nordtvet,,https://deichman.no/nordtvet,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Stovner,,https://deichman.no/stovner,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Torshov,,https://deichman.no/torshov,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichman Tøyen,,https://deichman.no/toyen,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Deichmanske bibliotek,976820002,https://deichman.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den Evangelisk Lutherske Frikirke,970168306,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den Norske Nobelkomite,971397660,https://nobelpeaceprfri.org/committee,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den Norske Opera & Ballett AS,920201598,https://www.operaen.no,post@operaen.no,21 42 21 00,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den Norske Opera og Ballett,985198927,https://operaen.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den etiopisk-ortodokse kirke i Norge,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den koptisk-ortodokse kirke i Norge,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den norske Jordmorforening,971464619,https://jordmorforeningen.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den norske kirke - sentralt,976987648,https://kirken.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den norske tannlegeforening,971263594,https://tannlegeforeningen.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den ortodokse kirke i Norge,976245087,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den russisk-ortodokse kirke i Norge,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Den serbisk-ortodokse kirke i Norge,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Design og arkitektur Norge (DOGA),983609362,https://doga.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Designregisteret,,https://patentstyret.no/design,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Det Islamske Fellesskap Bosnia-Hercegovina i Norge,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det Islamske Forbundet,970168438,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det Kongelige Hoff,971524545,https://www.kongehuset.no,,22 04 87 00,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det Kongelige Norske Videnskabers Selskab (DKNVS),971031960,https://dknvs.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det Mosaiske Trossamfund,970168470,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det Norske Baptistsamfunn,970168314,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det Norske Misjonsforbund,970168357,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det Norske Misjonsselskap,970228059,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det Norske Teatret,971527102,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det Norske Videnskaps-Akademi,970168578,https://dnva.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Det norske Amerikastipend,,https://amerikastipend.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Diabetesforbundet,971491543,https://diabetes.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Diakonforbundet,971416807,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Diakonhjemmet sykehus,979958231,https://dfriakonhjemmet.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Difi - Direktoratet for forvaltning og IKT (nedlagt - nå Digdir),,https://digdir.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Digitaliserings- og Forvaltningsdepartementet (DFD),932384469,,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Digitaliserings- og forvaltningsdepartementet,,https://regjeringen.no/dfd,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Digitaliseringsdirektoratet,991825827,https://digdir.no,postmottak@digdir.no,22 45 10 00,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Digitalt førstevalg,,https://digital.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Diku - Direktoratet for internasjonalisering og kvalitetsutvikling (nå HK-dir),,https://hkdir.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Direktoratet for e-helse,915933149,https://ehelse.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Direktoratet for samfunnssikkerhet og beredskap (DSB),974760983,https://dsb.no,postmottak@dsb.no,33 41 25 00,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Direktoratet for strålevern og atomsikkerhet (DSA),974706490,https://dsa.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Disiplinærnemnden for advokater,,https://telemarkfylke.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Distriktsenergi,,https://distriktsenergi.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Dommerforeningen,971399329,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Domstolkommisjonen,,https://domstolkommisjonen.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Dronning Mauds Minne Høgskole,971574747,https://dfrmmh.no,post@dmmh.no,73 80 52 00,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Dyrevernalliansen,984069474,https://dyrevern.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Dysleksi Norge,960055227,https://dysleksinorge.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Døvekirkenes Fellesråd,980620514,https://www.dovekirken.no,kirkevergen@dovekirken.no,23 33 43 53,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,E-handel.no,983887373,https://ehandel.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,E-resept,,https://helsenorge.no/e-resept,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,EOS-utvalget,971299685,https://eos-utvalget.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,ESA - Den europeiske romfartsorganisasjonen (norsk kontor),,https://esa.int,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Econa - Forbundet for siviløkonomer og masterutdannede innen økonomi og administrasjon,971397772,https://econa.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Eiendoms- og byfornyelsesetaten Oslo,971526378,https://oslo.kommune.no/eiendom-og-byfornyelse,postmottak@aho.no,22 99 70 00,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Eika Gruppen AS,979870155,https://eika.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Ekeberg skole,,https://telemarkfylke.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Ekebergparken,,https://ekebergparken.com,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Eksportfinansiering Norge,986399483,https://eksportfinansiering.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Eksportfinansiering Norge (Eksfin),922484042,https://eksfin.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Eldreombudet,924804801,https://eldreombudet.no,,,Nasjonal,Ikke testet,,
03,Oslo,0301,Oslo,Elklagenemnda,991252014,https://elklagenemnda.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Elvebakken videregående skole,974589141,https://elvebakken.vgs.no,,,Lokal,Ikke testet,,
03,Oslo,0301,Oslo,Energi Norge,971032693,https://energinorge.no,,,Lokal,Ikke testet,,
