Fylkesnummer,Fylkesnavn,Kommunenummer,Kommunenavn,Virksomhet,Org nummer,Offisiell nettside,Bransje,UU Status,Antall brudd,Sist oppdatert
03,Oslo,0301,Oslo,Politihøgskolen,974761106,phs.no,Utdanning,Ikke testet,,
03,Oslo,0301,Oslo,Universitetet i Oslo,971035854,uio.no,Utdanning,Ikke testet,,
03,Oslo,0301,Oslo,OsloMet - storbyuniversitetet,997058925,oslomet.no,Utdanning,Ikke testet,,
03,Oslo,0301,Oslo,Norsk filminstitutt,976029100,nfi.no,Kultur,Ikke testet,,
03,Oslo,0301,Oslo,Nasjonalbiblioteket,976029095,nb.no,Kultur/Bibliotek,Ikke testet,,
03,Oslo,0301,Oslo,Nasjonalmuseet,817309952,nasjonalmuseet.no,Kultur/Museum,Ikke testet,,
03,Oslo,0301,Oslo,Munchmuseet,970042368,munchmuseet.no,Kultur/Museum,Ikke testet,,
03,Oslo,0301,Oslo,Oslo Innovation Week,,oslobusinessregion.no,Næringsutvikling,Ikke testet,,
03,Oslo,0301,Oslo,StartupLab,997851466,startuplab.no,Næringsutvikling/Inkubator,Ikke testet,,
03,Oslo,0301,Oslo,Forskningsparken AS,964312372,forskningsparken.no,Næringsutvikling,Ikke testet,,
03,Oslo,0301,Oslo,Stortinget,971526157,stortinget.no,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Regjeringen,972417823,regjeringen.no,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Riksrevisjonen,974760843,riksrevisjonen.no,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Sivilombudet,974760703,sivilombudet.no,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Datatilsynet,974761467,datatilsynet.no,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Forbrukertilsynet,974761335,forbrukertilsynet.no,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Arbeidstilsynet,974761211,arbeidstilsynet.no,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Konkurransetilsynet,974761246,kt.no,Statlig forvaltning,Ikke testet,,
03,Oslo,0301,Oslo,Oslo Nye Teater,936396599,oslonyeteater.no,Kultur,Ikke testet,,
03,Oslo,0301,Oslo,Nationaltheatret,971274867,nationaltheatret.no,Kultur,Ikke testet,,
03,Oslo,0301,Oslo,Den Norske Opera og Ballett,985198927,operaen.no,Kultur,Ikke testet,,
11,Rogaland,1101,Eigersund,Eigersund kommune,964978573,eigersund.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1103,Stavanger,Stavanger kommune,964965226,stavanger.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1106,Haugesund,Haugesund kommune,944073787,haugesund.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1108,Sandnes,Sandnes kommune,964965137,sandnes.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1111,Sokndal,Sokndal kommune,964978581,sokndal.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1112,Lund,Lund kommune,964978930,lund.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1114,Bjerkreim,Bjerkreim kommune,964978492,bjerkreim.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1119,Hå,Hå kommune,964979731,ha.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1120,Klepp,Klepp kommune,964979626,klepp.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1121,Time,Time kommune,964979502,time.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1122,Gjesdal,Gjesdal kommune,964965218,gjesdal.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1124,Sola,Sola kommune,964965048,sola.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1127,Randaberg,Randaberg kommune,964965056,randaberg.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1130,Strand,Strand kommune,964978565,strand.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1133,Hjelmeland,Hjelmeland kommune,964979197,hjelmeland.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1134,Suldal,Suldal kommune,864979212,suldal.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1135,Sauda,Sauda kommune,964979065,sauda.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1144,Kvitsøy,Kvitsøy kommune,864965002,kvitsoy.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1145,Bokn,Bokn kommune,864979042,bokn.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1146,Tysvær,Tysvær kommune,864978982,tysver.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1149,Karmøy,Karmøy kommune,944073752,karmoy.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1151,Utsira,Utsira kommune,864978931,utsira.kommune.no,Kommune,Ikke testet,,
11,Rogaland,1160,Vindafjord,Vindafjord kommune,988893226,vindafjord.kommune.no,Kommune,Ikke testet,,
11,Rogaland,,Rogaland,Rogaland fylkeskommune,971045698,rogfk.no,Fylkeskommune,Ikke testet,,
11,Rogaland,,Rogaland,Statsforvalteren i Rogaland,974763230,statsforvalteren.no/rogaland,Statlig forvaltning,Ikke testet,,
11,Rogaland,,Rogaland,Sør-Vest politidistrikt,974764687,politiet.no/sor-vest,Politi,Ikke testet,,
11,Rogaland,1103,Stavanger,Sør-Rogaland tingrett,974636669,domstol.no/sor-rogaland,Domstol,Ikke testet,,
11,Rogaland,1106,Haugesund,Haugaland og Sunnhordland tingrett,,domstol.no/haugaland,Domstol,Ikke testet,,
11,Rogaland,,Rogaland,Gulating lagmannsrett,974015882,domstol.no/gulating,Domstol,Ikke testet,,
11,Rogaland,,Rogaland,Helse Stavanger HF,983974732,helse-stavanger.no,Helse,Ikke testet,,
11,Rogaland,,Rogaland,Helse Fonna HF,983974694,helse-fonna.no,Helse,Ikke testet,,
11,Rogaland,,Rogaland,Helse Vest RHF,983658776,helse-vest.no,Helse/RHF,Ikke testet,,
11,Rogaland,1103,Stavanger,Universitetet i Stavanger,971564679,uis.no,Utdanning,Ikke testet,,
11,Rogaland,1103,Stavanger,Stavanger Havn KF,981820873,stavangerhavn.no,Havn,Ikke testet,,
11,Rogaland,1106,Haugesund,Karmsund Havn IKS,970943402,karmsund-havn.no,Havn,Ikke testet,,
11,Rogaland,,Rogaland,Kolumbus AS,872409502,kolumbus.no,Transport,Ikke testet,,
11,Rogaland,1103,Stavanger,Validé AS,990359528,valide.no,Næringsutvikling/Inkubator,Ikke testet,,
11,Rogaland,1106,Haugesund,Haugaland Vekst IKS,994859583,haugalandvekst.no,Næringsutvikling,Ikke testet,,
11,Rogaland,,Rogaland,IVAR IKS,869986082,ivar.no,Renovasjon/VA,Ikke testet,,
11,Rogaland,,Rogaland,Rogaland Revisjon IKS,963999089,rogaland-revisjon.no,Revisjon,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Kristiansund kommune,964982953,kristiansund.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1506,Molde,Molde kommune,964982791,molde.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Ålesund kommune,942953119,alesund.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1511,Vanylven,Vanylven kommune,964983062,vanylven.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1514,Sande,Sande kommune,964982996,sande-mr.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1515,Herøy,Herøy kommune,964982694,heroy.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1516,Ulstein,Ulstein kommune,964982678,ulstein.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1517,Hareid,Hareid kommune,964982651,hareid.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1520,Ørsta,Ørsta kommune,964982627,orsta.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1525,Stranda,Stranda kommune,964983097,stranda.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1528,Sykkylven,Sykkylven kommune,864981962,sykkylven.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1531,Sula,Sula kommune,864980842,sula.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1532,Giske,Giske kommune,864980842,giske.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1535,Vestnes,Vestnes kommune,864982112,vestnes.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1539,Rauma,Rauma kommune,864982384,rauma.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1547,Aukra,Aukra kommune,964981825,aukra.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1554,Averøy,Averøy kommune,864980052,averoy.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1557,Gjemnes,Gjemnes kommune,864980249,gjemnes.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1560,Tingvoll,Tingvoll kommune,864980486,tingvoll.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1563,Sunndal,Sunndal kommune,964980829,sunndal.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1566,Surnadal,Surnadal kommune,964980730,surnadal.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1573,Smøla,Smøla kommune,864980532,smola.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1576,Aure,Aure kommune,988397009,aure.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1577,Volda,Volda kommune,939749956,volda.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1578,Fjord,Fjord kommune,921234554,fjord.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1579,Hustadvika,Hustadvika kommune,921293286,hustadvika.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,1580,Haram,Haram kommune,,haram.kommune.no,Kommune,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Møre og Romsdal fylkeskommune,944183779,mrfylke.no,Fylkeskommune,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Statsforvalteren i Møre og Romsdal,974764350,statsforvalteren.no/more-og-romsdal,Statlig forvaltning,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Møre og Romsdal politidistrikt,974763907,politiet.no/more-og-romsdal,Politi,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Møre og Romsdal tingrett,,domstol.no/more-og-romsdal,Domstol,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Frostating lagmannsrett,974764261,domstol.no/frostating,Domstol,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Helse Møre og Romsdal HF,997005562,helse-mr.no,Helse,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,Helse Midt-Norge RHF,983658733,helse-midt.no,Helse/RHF,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Høgskolen i Volda,974809672,hivolda.no,Utdanning,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,NTNU i Ålesund,974767880,ntnu.no/alesund,Utdanning,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,Ålesund Havn KF,974179981,alesundhavn.no,Havn,Ikke testet,,
15,Møre og Romsdal,1505,Kristiansund,Kristiansund og Nordmøre Havn IKS,,knhavn.no,Havn,Ikke testet,,
15,Møre og Romsdal,,Møre og Romsdal,FRAM (Møre og Romsdal Kollektivtrafikk),986233781,frframmr.no,Transport,Ikke testet,,
15,Møre og Romsdal,1508,Ålesund,ÅKP Blue Innovation Arena,992573140,akp.no,Næringsutvikling,Ikke testet,,
15,Møre og Romsdal,1577,Volda,Sunnmøre Næringshage AS,979970276,nyskapingssenteret.no,Næringsutvikling,Ikke testet,,
18,Nordland,1804,Bodø,Bodø kommune,964983135,bodo.kommune.no,Kommune,Ikke testet,,
18,Nordland,1806,Narvik,Narvik kommune,959469059,narvik.kommune.no,Kommune,Ikke testet,,
18,Nordland,1811,Bindal,Bindal kommune,864982686,bindal.kommune.no,Kommune,Ikke testet,,
18,Nordland,1812,Sømna,Sømna kommune,964983615,somna.kommune.no,Kommune,Ikke testet,,
18,Nordland,1813,Brønnøy,Brønnøy kommune,864983382,bronnoy.kommune.no,Kommune,Ikke testet,,
18,Nordland,1815,Vega,Vega kommune,864983242,vega.kommune.no,Kommune,Ikke testet,,
18,Nordland,1816,Vevelstad,Vevelstad kommune,864983102,vevelstad.kommune.no,Kommune,Ikke testet,,
18,Nordland,1818,Herøy,Herøy kommune,964982694,heroy-no.kommune.no,Kommune,Ikke testet,,
18,Nordland,1820,Alstahaug,Alstahaug kommune,964982802,alstahaug.kommune.no,Kommune,Ikke testet,,
18,Nordland,1822,Leirfjord,Leirfjord kommune,864982775,leirfjord.kommune.no,Kommune,Ikke testet,,
18,Nordland,1824,Vefsn,Vefsn kommune,864982538,vefsn.kommune.no,Kommune,Ikke testet,,
18,Nordland,1825,Grane,Grane kommune,964983623,grane.kommune.no,Kommune,Ikke testet,,
18,Nordland,1826,Hattfjelldal,Hattfjelldal kommune,964983569,hattfjelldal.kommune.no,Kommune,Ikke testet,,
18,Nordland,1827,Dønna,Dønna kommune,964982837,donna.kommune.no,Kommune,Ikke testet,,
18,Nordland,1828,Nesna,Nesna kommune,964982918,nesna.kommune.no,Kommune,Ikke testet,,
18,Nordland,1832,Hemnes,Hemnes kommune,864982627,hemnes.kommune.no,Kommune,Ikke testet,,
18,Nordland,1833,Rana,Rana kommune,964982562,rana.kommune.no,Kommune,Ikke testet,,
18,Nordland,1834,Lurøy,Lurøy kommune,964982969,luroy.kommune.no,Kommune,Ikke testet,,
18,Nordland,1835,Træna,Træna kommune,964983356,trana.kommune.no,Kommune,Ikke testet,,
18,Nordland,1836,Rødøy,Rødøy kommune,964983224,rodoy.kommune.no,Kommune,Ikke testet,,
18,Nordland,1837,Meløy,Meløy kommune,970208616,meloy.kommune.no,Kommune,Ikke testet,,
18,Nordland,1838,Gildeskål,Gildeskål kommune,864983986,gildeskal.kommune.no,Kommune,Ikke testet,,
18,Nordland,1839,Beiarn,Beiarn kommune,964983240,beiarn.kommune.no,Kommune,Ikke testet,,
18,Nordland,1840,Saltdal,Saltdal kommune,964983054,saltdal.kommune.no,Kommune,Ikke testet,,
18,Nordland,1841,Fauske,Fauske kommune,964983038,fauske.kommune.no,Kommune,Ikke testet,,
18,Nordland,1845,Sørfold,Sørfold kommune,864983013,sorfold.kommune.no,Kommune,Ikke testet,,
18,Nordland,1848,Steigen,Steigen kommune,864982856,steigen.kommune.no,Kommune,Ikke testet,,
18,Nordland,1851,Lødingen,Lødingen kommune,864983544,lodingen.kommune.no,Kommune,Ikke testet,,
18,Nordland,1853,Evenes,Evenes kommune,864983463,evenes.kommune.no,Kommune,Ikke testet,,
18,Nordland,1856,Røst,Røst kommune,964983178,rost.kommune.no,Kommune,Ikke testet,,
18,Nordland,1857,Værøy,Værøy kommune,864983722,varoy.kommune.no,Kommune,Ikke testet,,
18,Nordland,1859,Flakstad,Flakstad kommune,964983399,flakstad.kommune.no,Kommune,Ikke testet,,
18,Nordland,1860,Vestvågøy,Vestvågøy kommune,864983471,vestvagoy.kommune.no,Kommune,Ikke testet,,
18,Nordland,1865,Vågan,Vågan kommune,864983579,vagan.kommune.no,Kommune,Ikke testet,,
18,Nordland,1866,Hadsel,Hadsel kommune,864983641,hadsel.kommune.no,Kommune,Ikke testet,,
18,Nordland,1867,Bø,Bø kommune,964983305,boe.kommune.no,Kommune,Ikke testet,,
18,Nordland,1868,Øksnes,Øksnes kommune,964983291,oksnes.kommune.no,Kommune,Ikke testet,,
18,Nordland,1870,Sortland,Sortland kommune,964983348,sortland.kommune.no,Kommune,Ikke testet,,
18,Nordland,1871,Andøy,Andøy kommune,964983437,andoy.kommune.no,Kommune,Ikke testet,,
18,Nordland,1874,Moskenes,Moskenes kommune,964983259,moskenes.kommune.no,Kommune,Ikke testet,,
18,Nordland,1875,Hamarøy,Hamarøy kommune,939420815,hamaroy.kommune.no,Kommune,Ikke testet,,
18,Nordland,,Nordland,Nordland fylkeskommune,964982953,nfk.no,Fylkeskommune,Ikke testet,,
18,Nordland,,Nordland,Statsforvalteren i Nordland,974764687,statsforvalteren.no/nordland,Statlig forvaltning,Ikke testet,,
18,Nordland,,Nordland,Nordland politidistrikt,974764911,politiet.no/nordland,Politi,Ikke testet,,
18,Nordland,1804,Bodø,Salten og Lofoten tingrett,,domstol.no/salten-og-lofoten,Domstol,Ikke testet,,
18,Nordland,1833,Rana,Helgeland tingrett,,domstol.no/helgeland,Domstol,Ikke testet,,
18,Nordland,,Nordland,Hålogaland lagmannsrett,874015202,domstol.no/halogaland,Domstol,Ikke testet,,
18,Nordland,,Nordland,Nordlandssykehuset HF,983974791,nordlandssykehuset.no,Helse,Ikke testet,,
18,Nordland,,Nordland,Helgelandssykehuset HF,983974775,helgelandssykehuset.no,Helse,Ikke testet,,
18,Nordland,,Nordland,Helse Nord RHF,883658752,helse-nord.no,Helse/RHF,Ikke testet,,
18,Nordland,1804,Bodø,Nord universitet,974767880,nord.no,Utdanning,Ikke testet,,
18,Nordland,1804,Bodø,Bodø Havn KF,962312024,bodohavn.no,Havn,Ikke testet,,
18,Nordland,1806,Narvik,Narvik Havn KF,,narvikhavn.no,Havn,Ikke testet,,
18,Nordland,1833,Rana,Mo i Rana Havn KF,,mohavn.no,Havn,Ikke testet,,
18,Nordland,,Nordland,Nordland fylkes trafikk AS,964982759,nft.no,Transport,Ikke testet,,
18,Nordland,1804,Bodø,Kunnskapsparken Bodø AS,990265393,kpb.no,Næringsutvikling,Ikke testet,,
18,Nordland,1806,Narvik,Futurum AS,979643037,futurum.no,Næringsutvikling,Ikke testet,,
18,Nordland,1824,Vefsn,Helgeland Næringshage AS,990423734,helgelandnaeringshage.no,Næringsutvikling,Ikke testet,,
18,Nordland,1860,Vestvågøy,Lofoten Matpark AS,,lofoten-matpark.no,Næringsutvikling,Ikke testet,,
31,Østfold,3101,Halden,Halden kommune,959159092,halden.kommune.no,Kommune,Ikke testet,,
31,Østfold,3103,Moss,Moss kommune,922367623,moss.kommune.no,Kommune,Ikke testet,,
31,Østfold,3105,Sarpsborg,Sarpsborg kommune,922216168,sarpsborg.kommune.no,Kommune,Ikke testet,,
31,Østfold,3107,Fredrikstad,Fredrikstad kommune,940039541,fredrikstad.kommune.no,Kommune,Ikke testet,,
31,Østfold,3110,Hvaler,Hvaler kommune,959159432,hvaler.kommune.no,Kommune,Ikke testet,,
31,Østfold,3112,Råde,Råde kommune,959159157,rade.kommune.no,Kommune,Ikke testet,,
31,Østfold,3114,Våler,Våler kommune,959159114,valer-of.kommune.no,Kommune,Ikke testet,,
31,Østfold,3116,Skiptvet,Skiptvet kommune,959159076,skiptvet.kommune.no,Kommune,Ikke testet,,
31,Østfold,3118,Indre Østfold,Indre Østfold kommune,920125298,io.kommune.no,Kommune,Ikke testet,,
31,Østfold,3120,Rakkestad,Rakkestad kommune,959159041,rakkestad.kommune.no,Kommune,Ikke testet,,
31,Østfold,3122,Marker,Marker kommune,959159165,marker.kommune.no,Kommune,Ikke testet,,
31,Østfold,3124,Aremark,Aremark kommune,959159181,aremark.kommune.no,Kommune,Ikke testet,,
31,Østfold,,Østfold,Østfold fylkeskommune,,ostfoldfk.no,Fylkeskommune,Ikke testet,,
31,Østfold,,Østfold,Øst politidistrikt,974764490,politiet.no/ost,Politi,Ikke testet,,
31,Østfold,3107,Fredrikstad,Østfold tingrett,,domstol.no/ostfold,Domstol,Ikke testet,,
31,Østfold,,Østfold,Sykehuset Østfold HF,983971768,sykehuset-ostfold.no,Helse,Ikke testet,,
31,Østfold,3101,Halden,Høgskolen i Østfold,874116242,hiof.no,Utdanning,Ikke testet,,
31,Østfold,3107,Fredrikstad,Borg Havn IKS,991208026,bfrshavn.no,Havn,Ikke testet,,
31,Østfold,3103,Moss,Moss Havn KF,,mosshavn.no,Havn,Ikke testet,,
31,Østfold,,Østfold,Østfold kollektivtrafikk AS,959438806,ostfold-kollektiv.no,Transport,Ikke testet,,
31,Østfold,3101,Halden,NCE Smart Energy Markets,,smartenergymarkets.no,Næringsutvikling,Ikke testet,,
32,Akershus,3201,Bærum,Bærum kommune,935478715,baerum.kommune.no,Kommune,Ikke testet,,
32,Akershus,3203,Asker,Asker kommune,923070005,asker.kommune.no,Kommune,Ikke testet,,
32,Akershus,3205,Lillestrøm,Lillestrøm kommune,920125126,lillestrom.kommune.no,Kommune,Ikke testet,,
32,Akershus,3207,Nordre Follo,Nordre Follo kommune,921256657,nordrefollo.kommune.no,Kommune,Ikke testet,,
32,Akershus,3209,Ullensaker,Ullensaker kommune,935478955,ullensaker.kommune.no,Kommune,Ikke testet,,
32,Akershus,3212,Nesodden,Nesodden kommune,935479382,nesodden.kommune.no,Kommune,Ikke testet,,
32,Akershus,3214,Frogn,Frogn kommune,935479269,frogn.kommune.no,Kommune,Ikke testet,,
32,Akershus,3216,Vestby,Vestby kommune,935479137,vestby.kommune.no,Kommune,Ikke testet,,
32,Akershus,3218,Ås,Ås kommune,935478690,as.kommune.no,Kommune,Ikke testet,,
32,Akershus,3220,Enebakk,Enebakk kommune,935478527,enebakk.kommune.no,Kommune,Ikke testet,,
32,Akershus,3222,Lørenskog,Lørenskog kommune,935479455,lorenskog.kommune.no,Kommune,Ikke testet,,
32,Akershus,3224,Rælingen,Rælingen kommune,935479544,raelingen.kommune.no,Kommune,Ikke testet,,
32,Akershus,3226,Aurskog-Høland,Aurskog-Høland kommune,935478446,aurskog-holand.kommune.no,Kommune,Ikke testet,,
32,Akershus,3228,Nes,Nes kommune,935478985,nes.kommune.no,Kommune,Ikke testet,,
32,Akershus,3230,Gjerdrum,Gjerdrum kommune,935479013,gjerdrum.kommune.no,Kommune,Ikke testet,,
32,Akershus,3232,Nittedal,Nittedal kommune,935479056,nittedal.kommune.no,Kommune,Ikke testet,,
32,Akershus,3234,Lunner,Lunner kommune,835478262,lunner.kommune.no,Kommune,Ikke testet,,
32,Akershus,3236,Nannestad,Nannestad kommune,935479072,nannestad.kommune.no,Kommune,Ikke testet,,
32,Akershus,3238,Eidsvoll,Eidsvoll kommune,935479099,eidsvoll.kommune.no,Kommune,Ikke testet,,
32,Akershus,3240,Hurdal,Hurdal kommune,835479121,hurdal.kommune.no,Kommune,Ikke testet,,
32,Akershus,,Akershus,Akershus fylkeskommune,,akershus.no,Fylkeskommune,Ikke testet,,
32,Akershus,,Akershus,Akershus universitetssykehus HF,983971636,ahus.no,Helse,Ikke testet,,
32,Akershus,3218,Ås,Norges miljø- og biovitenskapelige universitet,988920874,nmbu.no,Utdanning,Ikke testet,,
32,Akershus,3205,Lillestrøm,Kjeller Innovasjon AS,880730892,kjellerinnovasjon.no,Næringsutvikling,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen kommune,926828846,drammen.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3303,Kongsberg,Kongsberg kommune,935922968,kongsberg.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3305,Ringerike,Ringerike kommune,935924492,ringerike.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3310,Hole,Hole kommune,935922305,hole.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3312,Lier,Lier kommune,935921877,lier.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3314,Øvre Eiker,Øvre Eiker kommune,935922674,ovre-eiker.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3316,Modum,Modum kommune,935923163,modum.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3318,Krødsherad,Krødsherad kommune,835923432,krodsherad.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3320,Flå,Flå kommune,935923627,fla.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3322,Nesbyen,Nesbyen kommune,935923619,nesbyen.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3324,Gol,Gol kommune,835923575,gol.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3326,Hemsedal,Hemsedal kommune,935923694,hemsedal.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3328,Ål,Ål kommune,935923724,aal.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3330,Hol,Hol kommune,935923732,hol.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3332,Sigdal,Sigdal kommune,935923759,sigdal.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3334,Flesberg,Flesberg kommune,935923775,flesberg.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3336,Rollag,Rollag kommune,835923852,rollag.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3338,Nore og Uvdal,Nore og Uvdal kommune,935923805,nore-og-uvdal.kommune.no,Kommune,Ikke testet,,
33,Buskerud,3340,Jevnaker,Jevnaker kommune,935924263,jevnaker.kommune.no,Kommune,Ikke testet,,
33,Buskerud,,Buskerud,Buskerud fylkeskommune,,bfrk.no,Fylkeskommune,Ikke testet,,
33,Buskerud,,Buskerud,Sør-Øst politidistrikt,974764776,politiet.no/sor-ost,Politi,Ikke testet,,
33,Buskerud,3301,Drammen,Buskerud tingrett,,domstol.no/buskerud,Domstol,Ikke testet,,
33,Buskerud,,Buskerud,Vestre Viken HF,894166762,vestreviken.no,Helse,Ikke testet,,
33,Buskerud,3303,Kongsberg,Universitetet i Sørøst-Norge,911770709,usn.no,Utdanning,Ikke testet,,
33,Buskerud,3301,Drammen,Drammen Havn,,drammenhavn.no,Havn,Ikke testet,,
33,Buskerud,,Buskerud,Brakar AS,985193297,brakar.no,Transport,Ikke testet,,
